qa4re_prompt,gold_option_letter,pred,gold,correct
"Determine which option can be inferred from the following passage.
Passage: Hepatocyte nuclear factor-6: associations between genetic variability and type II diabetes and between genetic variability and estimates of insulin secretion.
Options:
A. Hepatocyte nuclear factor-6 and type II diabetes are positively correlated.
B. Hepatocyte nuclear factor-6 and type II diabetes are negatively correlated.
C. Hepatocyte nuclear factor-6 and type II diabetes are associated.
D. Hepatocyte nuclear factor-6 and type II diabetes have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: The transcription factor hepatocyte nuclear factor (HNF)-6 is an upstream regulator of several genes involved in the pathogenesis of maturity-onset diabetes of the young. We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-insulin-dependent) diabetes mellitus and estimates of insulin secretion in glucose tolerant subjects.   We cloned the coding region as well as the intron-exon boundaries of the HNF-6 gene. We then examined them on genomic DNA in six MODY probands without mutations in the MODY1, MODY3 and MODY4 genes and in 54 patients with late-onset Type II diabetes by combined single strand conformational polymorphism-heteroduplex analysis followed by direct sequencing of identified variants. An identified missense variant was examined in association studies and genotype-phenotype studies.   We identified two silent and one missense (Pro75 Ala) variant. In an association study the allelic frequency of the Pro75Ala polymorphism was 3.2% (95% confidence interval, 1.9-4.5) in 330 patients with Type II diabetes mellitus compared with 4.2% (2.4-6.0) in 238 age-matched glucose tolerant control subjects. Moreover, in studies of 238 middle-aged glucose tolerant subjects, of 226 glucose tolerant offspring of Type II diabetic patients and of 367 young healthy subjects, the carriers of the polymorphism did not differ from non-carriers in glucose induced serum insulin or C-peptide responses.   Mutations in the coding region of the HNF-6 gene are not associated with Type II diabetes or with changes in insulin responses to glucose among the Caucasians examined.
Options:
A. Hepatocyte nuclear factor-6 and type II diabetes are positively correlated.
B. Hepatocyte nuclear factor-6 and type II diabetes are negatively correlated.
C. Hepatocyte nuclear factor-6 and type II diabetes are associated.
D. Hepatocyte nuclear factor-6 and type II diabetes have no known relation.
Which option can be inferred?
Option:",C,D,C,False
"Determine which option can be inferred from the following passage.
Passage: The transcription factor hepatocyte nuclear factor (HNF)-6 is an upstream regulator of several genes involved in the pathogenesis of maturity-onset diabetes of the young. We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-insulin-dependent) diabetes mellitus and estimates of insulin secretion in glucose tolerant subjects.   We cloned the coding region as well as the intron-exon boundaries of the HNF-6 gene. We then examined them on genomic DNA in six MODY probands without mutations in the MODY1, MODY3 and MODY4 genes and in 54 patients with late-onset Type II diabetes by combined single strand conformational polymorphism-heteroduplex analysis followed by direct sequencing of identified variants. An identified missense variant was examined in association studies and genotype-phenotype studies.   We identified two silent and one missense (Pro75 Ala) variant. In an association study the allelic frequency of the Pro75Ala polymorphism was 3.2% (95% confidence interval, 1.9-4.5) in 330 patients with Type II diabetes mellitus compared with 4.2% (2.4-6.0) in 238 age-matched glucose tolerant control subjects. Moreover, in studies of 238 middle-aged glucose tolerant subjects, of 226 glucose tolerant offspring of Type II diabetic patients and of 367 young healthy subjects, the carriers of the polymorphism did not differ from non-carriers in glucose induced serum insulin or C-peptide responses.   Mutations in the coding region of the HNF-6 gene are not associated with Type II diabetes or with changes in insulin responses to glucose among the Caucasians examined.
Options:
A. glucose and insulin are positively correlated.
B. glucose and insulin are negatively correlated.
C. glucose and insulin are associated.
D. glucose binds to insulin.
E. glucose and insulin have no known relation.
Which option can be inferred?
Option:",E,C,E,False
"Determine which option can be inferred from the following passage.
Passage: The transcription factor hepatocyte nuclear factor (HNF)-6 is an upstream regulator of several genes involved in the pathogenesis of maturity-onset diabetes of the young. We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-insulin-dependent) diabetes mellitus and estimates of insulin secretion in glucose tolerant subjects.   We cloned the coding region as well as the intron-exon boundaries of the HNF-6 gene. We then examined them on genomic DNA in six MODY probands without mutations in the MODY1, MODY3 and MODY4 genes and in 54 patients with late-onset Type II diabetes by combined single strand conformational polymorphism-heteroduplex analysis followed by direct sequencing of identified variants. An identified missense variant was examined in association studies and genotype-phenotype studies.   We identified two silent and one missense (Pro75 Ala) variant. In an association study the allelic frequency of the Pro75Ala polymorphism was 3.2% (95% confidence interval, 1.9-4.5) in 330 patients with Type II diabetes mellitus compared with 4.2% (2.4-6.0) in 238 age-matched glucose tolerant control subjects. Moreover, in studies of 238 middle-aged glucose tolerant subjects, of 226 glucose tolerant offspring of Type II diabetic patients and of 367 young healthy subjects, the carriers of the polymorphism did not differ from non-carriers in glucose induced serum insulin or C-peptide responses.   Mutations in the coding region of the HNF-6 gene are not associated with Type II diabetes or with changes in insulin responses to glucose among the Caucasians examined.
Options:
A. glucose and type II diabetes are positively correlated.
B. glucose and type II diabetes are negatively correlated.
C. glucose and type II diabetes are associated.
D. glucose and type II diabetes have a drug interaction.
E. glucose and type II diabetes are used in cotreatment.
F. glucose and type II diabetes have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: We have identified a type II Ca2+-dependent lectin displaying mannose-binding specificity, exclusively expressed by Langerhans cells (LC), and named Langerin. LC are uniquely characterized by Birbeck granules (BG), which are organelles consisting of superimposed and zippered membranes. Here, we have shown that Langerin is constitutively associated with BG and that antibody to Langerin is internalized into these structures. Remarkably, transfection of Langerin cDNA into fibroblasts created a compact network of membrane structures with typical features of BG. Langerin is thus a potent inducer of membrane superimposition and zippering leading to BG formation. Our data suggest that induction of BG is a consequence of the antigen-capture function of Langerin, allowing routing into these organelles and providing access to a nonclassical antigen-processing pathway.
Options:
A. Langerin and mannose are positively correlated.
B. Langerin and mannose are negatively correlated.
C. Langerin and mannose are associated.
D. Langerin binds to mannose.
E. Langerin and mannose have no known relation.
Which option can be inferred?
Option:",D,D,D,True
"Determine which option can be inferred from the following passage.
Passage: Founder mutations in the BRCA1 gene in Polish families with breast-ovarian cancer.
Options:
A. BRCA1 and breast-ovarian cancer are positively correlated.
B. BRCA1 and breast-ovarian cancer are negatively correlated.
C. BRCA1 and breast-ovarian cancer are associated.
D. BRCA1 and breast-ovarian cancer have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: We have undertaken a hospital-based study, to identify possible BRCA1 and BRCA2 founder mutations in the Polish population. The study group consisted of 66 Polish families with cancer who have at least three related females affected with breast or ovarian cancer and who had cancer diagnosed, in at least one of the three affected females, at age < 50 years. A total of 26 families had both breast and ovarian cancers, 4 families had ovarian cancers only, and 36 families had breast cancers only. Genomic DNA was prepared from the peripheral blood leukocytes of at least one affected woman from each family. The entire coding region of BRCA1 and BRCA2 was screened for the presence of germline mutations, by use of SSCP followed by direct sequencing of observed variants. Mutations were found in 35 (53%) of the 66 families studied. All but one of the mutations were detected within the BRCA1 gene. BRCA1 abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only. The single family with a BRCA2 mutation had the breast-ovarian cancer syndrome. Seven distinct mutations were identified; five of these occurred in two or more families. In total, recurrent mutations were found in 33 (94%) of the 35 families with detected mutations. Three BRCA1 abnormalities - 5382insC, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively.. 
Options:
A. breast cancers and 5382insC are positively correlated.
B. breast cancers and 5382insC are negatively correlated.
C. breast cancers and 5382insC are associated.
D. breast cancers and 5382insC have no known relation.
Which option can be inferred?
Option:",D,C,D,False
"Determine which option can be inferred from the following passage.
Passage: We have undertaken a hospital-based study, to identify possible BRCA1 and BRCA2 founder mutations in the Polish population. The study group consisted of 66 Polish families with cancer who have at least three related females affected with breast or ovarian cancer and who had cancer diagnosed, in at least one of the three affected females, at age < 50 years. A total of 26 families had both breast and ovarian cancers, 4 families had ovarian cancers only, and 36 families had breast cancers only. Genomic DNA was prepared from the peripheral blood leukocytes of at least one affected woman from each family. The entire coding region of BRCA1 and BRCA2 was screened for the presence of germline mutations, by use of SSCP followed by direct sequencing of observed variants. Mutations were found in 35 (53%) of the 66 families studied. All but one of the mutations were detected within the BRCA1 gene. BRCA1 abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only. The single family with a BRCA2 mutation had the breast-ovarian cancer syndrome. Seven distinct mutations were identified; five of these occurred in two or more families. In total, recurrent mutations were found in 33 (94%) of the 35 families with detected mutations. Three BRCA1 abnormalities - 5382insC, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively.. 
Options:
A. breast cancers and 4153delA are positively correlated.
B. breast cancers and 4153delA are negatively correlated.
C. breast cancers and 4153delA are associated.
D. breast cancers and 4153delA have no known relation.
Which option can be inferred?
Option:",D,C,D,False
"Determine which option can be inferred from the following passage.
Passage: We have undertaken a hospital-based study, to identify possible BRCA1 and BRCA2 founder mutations in the Polish population. The study group consisted of 66 Polish families with cancer who have at least three related females affected with breast or ovarian cancer and who had cancer diagnosed, in at least one of the three affected females, at age < 50 years. A total of 26 families had both breast and ovarian cancers, 4 families had ovarian cancers only, and 36 families had breast cancers only. Genomic DNA was prepared from the peripheral blood leukocytes of at least one affected woman from each family. The entire coding region of BRCA1 and BRCA2 was screened for the presence of germline mutations, by use of SSCP followed by direct sequencing of observed variants. Mutations were found in 35 (53%) of the 66 families studied. All but one of the mutations were detected within the BRCA1 gene. BRCA1 abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only. The single family with a BRCA2 mutation had the breast-ovarian cancer syndrome. Seven distinct mutations were identified; five of these occurred in two or more families. In total, recurrent mutations were found in 33 (94%) of the 35 families with detected mutations. Three BRCA1 abnormalities - 5382insC, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively.. 
Options:
A. breast cancers and C61G are positively correlated.
B. breast cancers and C61G are negatively correlated.
C. breast cancers and C61G are associated.
D. breast cancers and C61G have no known relation.
Which option can be inferred?
Option:",D,C,D,False
"Determine which option can be inferred from the following passage.
Passage: We have undertaken a hospital-based study, to identify possible BRCA1 and BRCA2 founder mutations in the Polish population. The study group consisted of 66 Polish families with cancer who have at least three related females affected with breast or ovarian cancer and who had cancer diagnosed, in at least one of the three affected females, at age < 50 years. A total of 26 families had both breast and ovarian cancers, 4 families had ovarian cancers only, and 36 families had breast cancers only. Genomic DNA was prepared from the peripheral blood leukocytes of at least one affected woman from each family. The entire coding region of BRCA1 and BRCA2 was screened for the presence of germline mutations, by use of SSCP followed by direct sequencing of observed variants. Mutations were found in 35 (53%) of the 66 families studied. All but one of the mutations were detected within the BRCA1 gene. BRCA1 abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only. The single family with a BRCA2 mutation had the breast-ovarian cancer syndrome. Seven distinct mutations were identified; five of these occurred in two or more families. In total, recurrent mutations were found in 33 (94%) of the 35 families with detected mutations. Three BRCA1 abnormalities - 5382insC, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively.. 
Options:
A. ovarian cancers and 5382insC are positively correlated.
B. ovarian cancers and 5382insC are negatively correlated.
C. ovarian cancers and 5382insC are associated.
D. ovarian cancers and 5382insC have no known relation.
Which option can be inferred?
Option:",D,INVALID,D,False
